,precision,recall,f1-score,support
air_conditioner,0.7906976744186046,0.68,0.7311827956989247,100.0
car_horn,0.8125,0.7878787878787878,0.8,33.0
children_playing,0.6896551724137931,0.8,0.7407407407407407,100.0
dog_bark,0.6044776119402985,0.81,0.6923076923076923,100.0
drilling,0.5555555555555556,0.6,0.5769230769230769,100.0
engine_idling,0.8888888888888888,0.7741935483870968,0.8275862068965517,93.0
gun_shot,0.9375,0.9375,0.9375,32.0
jackhammer,0.5384615384615384,0.4375,0.4827586206896552,96.0
siren,0.6296296296296297,0.6144578313253012,0.6219512195121951,83.0
street_music,0.8764044943820225,0.78,0.8253968253968254,100.0
accuracy,0.7025089605734767,0.7025089605734767,0.7025089605734767,0.7025089605734767
macro avg,0.7323770565690332,0.7221530167591186,0.7236347178165662,837.0
weighted avg,0.7110033267494157,0.7025089605734767,0.7024939177465046,837.0
