,precision,recall,f1-score,support
air_conditioner,0.9047619047619048,0.76,0.8260869565217391,100.0
car_horn,1.0,0.7272727272727273,0.8421052631578947,33.0
children_playing,0.54,0.81,0.648,100.0
dog_bark,0.7407407407407407,0.8,0.7692307692307693,100.0
drilling,0.5847457627118644,0.69,0.6330275229357798,100.0
engine_idling,0.9259259259259259,0.8064516129032258,0.8620689655172413,93.0
gun_shot,0.9032258064516129,0.875,0.8888888888888888,32.0
jackhammer,0.6329113924050633,0.5208333333333334,0.5714285714285714,96.0
siren,0.7,0.5060240963855421,0.5874125874125874,83.0
street_music,0.8333333333333334,0.85,0.8415841584158416,100.0
accuracy,0.7287933094384708,0.7287933094384708,0.7287933094384708,0.7287933094384708
macro avg,0.7765644866330446,0.7345581769894829,0.7469833683509314,837.0
weighted avg,0.7493811287254876,0.7287933094384708,0.7309577780699631,837.0
