class,1,2,3,4,5,6,7,8,9,10
air_conditioner,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
car_horn,0.0839,0.0979,0.1002,0.1375,0.2284,0.0653,0.0653,0.0699,0.0746,0.0769
children_playing,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dog_bark,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
drilling,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
engine_idling,0.096,0.1,0.107,0.107,0.107,0.107,0.106,0.088,0.089,0.093
gun_shot,0.0936,0.0936,0.0963,0.1016,0.107,0.123,0.1364,0.0802,0.0829,0.0856
jackhammer,0.12,0.12,0.12,0.12,0.12,0.068,0.076,0.078,0.082,0.096
siren,0.0926,0.098,0.1281,0.1787,0.0764,0.0797,0.0829,0.0861,0.0883,0.0893
street_music,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
